stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,A+B+C+D+E,外資+投信
2888,8,10,6,6,5,10,6,5,5,8,10,8,10,7,7,8,6,3,3,6,8,10,新光金,"['金融', '金融:金控業_銀行業_保險業']",36,18
1474,10,5,6,5,9,7,5,4,3,4,9,2,6,10,10,9,10,2,1,2,1,6,弘裕,"['紡織', '紡織:織布']",35,7
4303,9,10,9,2,10,3,3,2,2,2,2,1,2,10,10,10,10,9,7,1,10,6,信立,"['石化及塑橡膠', '石化及塑橡膠:人造纖維', '石化及塑橡膠:塑膠製品']",33,16
1514,10,10,9,10,5,8,9,10,10,9,7,10,5,10,10,7,10,8,1,9,10,1,亞力,"['汽電共生', '汽電共生:配電系統', '電機機械', '電機機械:機電系統工程', '風力發電', '風力發電:電力系統']",32,11
4906,8,10,10,10,8,6,8,10,9,7,6,8,7,5,5,7,6,7,4,7,10,6,正文,"['通信網路', '通信網路:網路設備(如數據機、網路卡、閘道器、路由器、網路電話)']",35,16
5388,10,10,10,9,3,7,9,9,9,9,9,9,7,8,8,8,9,7,6,8,4,3,中磊,"['通信網路', '通信網路:網路設備(如數據機、網路卡、閘道器、路由器、網路電話)']",34,7
2439,8,10,9,9,6,4,9,9,10,4,7,3,9,5,5,9,5,9,2,8,8,6,美律,"['能源元件', '能源元件:電池模組', '通信網路', '通信網路:無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒)', '電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備之零組件']",40,14
6139,10,10,9,10,8,7,10,10,10,9,9,9,9,10,10,8,10,8,3,7,1,10,亞翔,"['其他', '其他:其他電子產品及電子服務產業']",42,11
3587,10,10,8,10,4,8,9,10,10,3,2,3,2,3,3,3,8,3,3,6,2,9,閎康,"['其他', '其他:其他電子產品及電子服務產業']",14,11
3088,10,10,8,9,2,3,8,9,9,10,6,8,5,8,8,6,8,6,3,9,10,6,艾訊,"['觸控面板', '觸控面板:工業用設備', '觸控面板:資訊收集設備', '電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備', '電腦及週邊設備:工業電腦']",25,16
